platform,store_id,super_store_id,brand_name,store_name,store_address,is_open_today,delivery_price,eta_value_min,percentage_service_fee,corridor_id,corridor_name,corridor_index,product_id,product_name,product_description,product_price,product_real_price,discount_percentage,is_available,is_popular,has_toppings,product_image,store_query,address_text,product_name_normalized,product_group,final_total_est
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762542,McCombo grande Cuarto de Libra con Queso,"Elige tu McCombo de hamburguesa con carne 100% de res de 125gr, cebolla 100% colombiana, pepinillos, queso cheddar, salsa de tomate y mostaza con papas grandes y gaseosa grande a elegir.",38500.0,38500.0,0.0,False,False,True,13331c60-06d9-418a-81bb-5556de4275a7.png,McDonald's,"Chapinero Alto, Bogotá",mccombo grande cuarto de libra con queso,combo_hamburguesa,38500.0
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762380,McCombo mediano Cuarto de Libra con Queso,"Elige tu McCombo de hamburguesa con carne de res de 125gr, cebolla 100% colombiana, pepinillos, queso cheddar, salsa de tomate y mostaza con papas medianas y gaseosa mediana a elegir.",35500.0,35500.0,0.0,False,False,True,0251cd98-5f85-4941-923e-df128ace3e42.png,McDonald's,"Chapinero Alto, Bogotá",mccombo mediano cuarto de libra con queso,combo_hamburguesa,35500.0
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762501,McCombo grande McBacon,"Elige tu McCombo de hamburguesa con dos carnes 100% de res de 50gr c/u, tocineta y cebolla 100% colombiana, queso cheddar, salsa de tomate y mostaza con papas grandes y gaseosa grande a elegir",34500.0,34500.0,0.0,False,False,True,b5e966ae-add8-4e94-813e-4cd98b23fab9.png,McDonald's,"Chapinero Alto, Bogotá",mccombo grande mcbacon,combo_hamburguesa,34500.0
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762504,McCombo grande Triple Hamburguesa con Queso,"Elige tu McCombo de hamburguesa con tres carnes 100% de res de 50gr c/u, doble queso cheddar, cebolla 100% colombiana, pepinillos, salsa de tomate y mostaza con papas grandes y gaseosa grande a elegir.",32900.0,32900.0,0.0,False,False,True,2e768377-dad8-4e86-9eae-ea70704483ca.png,McDonald's,"Chapinero Alto, Bogotá",mccombo grande triple hamburguesa con queso,combo_hamburguesa,32900.0
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762279,McCombo grande McNífica,"Elige tu McCombo de hamburguesa con carne 100% de res de 125 gr, queso blanco, cebolla, tomate y lechuga 100% colombianos, salsa de tomate, mayonesa y mostaza con papas grandes y gaseosa grande a elegir",35500.0,35500.0,0.0,False,False,True,af315810-3181-41c2-93db-d81aced90fdf.png,McDonald's,"Chapinero Alto, Bogotá",mccombo grande mcnífica,combo_hamburguesa,35500.0
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762383,McCombo Grande Super Cheddar Lover,"LLeva una(1) hamburguesa super Cheddar Lover , unas(1) papas grandes , y una(1) gaseosa grande(22oz) a eleccion",50500.0,50500.0,0.0,False,False,True,5a826f3b-ab98-4de5-8701-d9cc6a4e0755.png,McDonald's,"Chapinero Alto, Bogotá",mccombo grande super cheddar lover,combo_hamburguesa,50500.0
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762449,McCombo grande McPollo,"Elige tu McCombo de hamburguesa con pattie 100% pechuga de pollo, mayonesa y lechuga 100% colombiana, con papas grandes y gaseosa grande a elegir.",31500.0,31500.0,0.0,False,False,True,42113b97-a380-4b0e-9b25-5300eeff4dff.png,McDonald's,"Chapinero Alto, Bogotá",mccombo grande mcpollo,combo_hamburguesa,31500.0
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762345,McCombo grande Chicken McNuggets de 10 pzas,"Elige tu McCombo de 10 piezas de pollo apanado 100% pechuga, acompañados de papas grandes y gaseosa grande a elegir.",36500.0,36500.0,0.0,False,False,True,ef65be67-e5de-4a94-a856-a95133690e81.png,McDonald's,"Chapinero Alto, Bogotá",mccombo grande chicken mcnuggets de 10 pzas,combo_hamburguesa,36500.0
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762581,McCombo Grande McCrispy Tocineta Dulce,"Elige tu McCombo grande de hamburguesa con un filete de pechuga de pollo de 125gr, salsa tocineta dulce, cebolla fresca, tocineta, pepinillos queso cheddar y mayonesa, acompañado de papas grandes y gaseosa grande a elegir.",42500.0,42500.0,0.0,False,False,True,741772a9-ec2e-40c2-9596-5465803314ef.png,McDonald's,"Chapinero Alto, Bogotá",mccombo grande mccrispy tocineta dulce,combo_hamburguesa,42500.0
Rappi,900275448,900427457,McDonalds Turbo,Lou - Mcdonald's Lourdes Turbo,"MCDONALDS TURBO Cra. 13 #63-48, Bogota, Colombia",True,0.0,20,0.0,257057,McCombo Turbo,4,3762230,McCombo grande Pollo McCrispy Bacon Ranch,"Elige tu McCombo de hamburguesa con un filete 100% de pechuga de pollo de 125gr, salsa Ranch, tocineta, lechuga y tomate 100% colombianos, con papas grandes y gaseosa grande a elegir.",39500.0,39500.0,0.0,False,False,True,1f12c759-ef08-4fdf-be55-0eed6a8c6414.png,McDonald's,"Chapinero Alto, Bogotá",mccombo grande pollo mccrispy bacon ranch,combo_hamburguesa,39500.0
